Date,HomeTeam,AwayTeam,H,D,A,O25,Div,kaynak,FTHG,FTAG,home_n,away_n,FTR,Over25,BTTS
,Omonoia FC,Celta Vigo,,,,,,odds_api,1.0,0.0,omonoia,celta vigo,H,0.0,0.0
,FC Ararat-Armenia,Sparta Prague,,,,,,odds_api,1.0,4.0,ararat armenia,sparta prague,A,1.0,1.0
,AC Milan,Benfica,,,,,,odds_api,0.0,2.0,milan,benfica,A,0.0,0.0
,Sunderland,AZ Alkmaar,,,,,,odds_api,1.0,0.0,sunderland,az alkmaar,H,0.0,0.0
,Anderlecht,Lyon,,,,,,odds_api,1.0,2.0,anderlecht,lyon,A,1.0,1.0
,Bayer Leverkusen,NK Celje,,,,,,odds_api,2.0,0.0,bayer leverkusen,celje,H,0.0,0.0
,Hapoel Be'er Sheva,Dinamo Zagreb,,,,,,odds_api,0.0,0.0,hapoel be er sheva,dinamo zagreb,D,0.0,0.0
,Olympiakos Piraeus,Jagiellonia Białystok,,,,,,odds_api,2.0,1.0,olympiakos piraeus,jagiellonia bia ystok,H,1.0,1.0
,SK Sturm Graz,Rennes,,,,,,odds_api,0.0,0.0,sturm graz,rennes,D,0.0,0.0
,Peterborough United,Barnsley,,,,,,odds_api,3.0,3.0,peterborough united,barnsley,D,1.0,1.0
,West Ham United,Fulham,,,,,,odds_api,2.0,3.0,west ham united,fulham,A,1.0,1.0
,Ipswich Town,Arsenal,,,,,,odds_api,2.0,4.0,ipswich town,arsenal,A,1.0,1.0
,Reading,Brentford,,,,,,odds_api,1.0,2.0,reading,brentford,A,1.0,1.0
,Liverpool,Tottenham Hotspur,,,,,,odds_api,3.0,1.0,liverpool,tottenham hotspur,H,1.0,1.0
,Everton,Wolverhampton Wanderers,,,,,,odds_api,1.0,0.0,everton,wolverhampton wanderers,H,0.0,0.0
,Fleetwood Town,Sheffield United,,,,,,odds_api,1.0,0.0,fleetwood town,sheffield united,H,0.0,0.0
,Coventry City,Aston Villa,,,,,,odds_api,1.0,3.0,coventry city,aston villa,A,1.0,1.0
,Manchester United,Brighton and Hove Albion,,,,,,odds_api,2.0,3.0,manchester united,brighton and hove albion,A,1.0,1.0
,Leeds United,Newcastle United,,,,,,odds_api,4.0,1.0,leeds united,newcastle united,H,1.0,1.0
,Bristol City,Lincoln City,,,,,,odds_api,0.0,1.0,bristol city,lincoln city,A,0.0,0.0
,Middlesbrough,Millwall,,,,,,odds_api,2.0,2.0,middlesbrough,millwall,D,1.0,1.0
,Villarreal,Real Betis,,,,,,odds_api,1.0,2.0,villarreal,real betis,A,1.0,1.0
,Rayo Vallecano,Espanyol,,,,,,odds_api,2.0,1.0,rayo vallecano,espanyol,H,1.0,1.0
,Alavés,Valencia,,,,,,odds_api,0.0,1.0,alaves,valencia,A,0.0,0.0
,Elche CF,Real Madrid,,,,,,odds_api,2.0,3.0,elche,real madrid,A,1.0,1.0
,Atlético Madrid,CA Osasuna,,,,,,odds_api,4.0,0.0,atletico madrid,osasuna,H,1.0,0.0
,Deportivo La Coruña,Sevilla,,,,,,odds_api,0.0,1.0,deportivo la coruna,sevilla,A,0.0,0.0
,Barcelona,Real Racing Club de Santander,,,,,,odds_api,7.0,2.0,barcelona,real racing club de santander,H,1.0,1.0
,Torino,AS Roma,,,,,,odds_api,0.0,2.0,torino,roma,A,0.0,0.0
,Como,Parma,,,,,,odds_api,2.0,1.0,como,parma,H,1.0,1.0
,Inter Milan,Udinese,,,,,,odds_api,5.0,3.0,inter milan,udinese,H,1.0,1.0
,Ajax,Willem II,,,,,,odds_api,5.0,1.0,ajax,willem ii,H,1.0,1.0
,Gazişehir Gaziantep,Fenerbahce,,,,,,odds_api,0.0,0.0,gazi ehir gaziantep,fenerbahce,D,0.0,0.0
,Motherwell,Aberdeen,,,,,,odds_api,0.0,4.0,motherwell,aberdeen,A,1.0,0.0
,Falkirk F.C.,Hearts,,,,,,odds_api,2.0,1.0,falkirk f c,hearts,H,1.0,1.0
,Hibernian,Kilmarnock,,,,,,odds_api,0.0,1.0,hibernian,kilmarnock,A,0.0,0.0
,Celta Fortuna,SD Eibar,,,,,,odds_api,0.0,4.0,celta fortuna,sd eibar,A,1.0,0.0
,Grasshopper Zürich,FC Sion,,,,,,odds_api,2.0,5.0,grasshopper zurich,sion,A,1.0,1.0
,FC Lugano,FC St Gallen,,,,,,odds_api,4.0,1.0,lugano,st gallen,H,1.0,1.0
,FC Thun,Servette,,,,,,odds_api,2.0,4.0,thun,servette,A,1.0,1.0
