H,D,A,O25,FTR,Over25,BTTS
1.50,4.20,6.00,1.70,H,1,0
1.60,3.80,5.50,1.75,H,1,1
1.70,3.60,5.00,1.80,H,0,0
1.80,3.50,4.50,1.85,D,1,1
1.90,3.40,4.20,1.90,H,1,1
2.00,3.30,3.80,1.85,A,1,1
2.10,3.40,3.50,1.80,H,0,0
2.20,3.30,3.40,1.90,D,1,1
2.30,3.20,3.30,1.85,A,1,1
2.40,3.30,2.90,1.80,H,1,0
2.50,3.20,2.80,1.85,D,0,0
1.40,4.50,7.00,1.65,H,1,0
1.45,4.30,6.50,1.70,H,1,1
1.55,4.00,5.80,1.75,H,0,0
1.65,3.80,5.20,1.80,A,1,1
1.75,3.70,4.80,1.85,H,1,1
1.85,3.50,4.30,1.90,D,1,1
2.05,3.40,3.60,1.85,H,0,1
2.15,3.30,3.40,1.80,A,1,1
2.25,3.25,3.20,1.90,D,1,0
1.30,5.00,9.00,1.55,H,1,0
1.35,4.80,8.00,1.60,H,1,1
1.40,4.60,7.50,1.65,H,0,0
2.60,3.20,2.70,1.85,A,1,1
2.70,3.30,2.60,1.90,D,0,1
2.80,3.20,2.50,1.85,H,1,1
2.90,3.30,2.40,1.80,A,1,0
3.00,3.40,2.30,1.90,D,1,1
1.20,6.00,12.00,1.45,H,1,0
1.25,5.50,10.00,1.50,H,1,1
